Borough,Latitude,Longitude
1er,48.862509,2.338211
2e,48.866535,2.340165
3e,48.863706,2.361094
4e,48.854596,2.362937
5e,48.845461,2.344518
6e,48.850537,2.332774
7e,48.857980,2.315100
8e,48.877786,2.316351
9e,48.872831,2.340419
10e,48.871737,2.357201
11e,48.858736,2.378556
12e,48.840792,2.388745
13e,48.831916,2.355855
14e,48.832764,2.324742
15e,48.842120,2.299240
16e,48.863950,2.277365
17e,48.883283,2.319248
18e,48.892381,2.344977
19e,48.887130,2.382775
20e,48.864767,2.398592
